locs,techs,energy_cap
W2,solar,0.0
W2,wind_offshore,0.0
W2,wind_onshore,0.0
W3,ac_transmission:W1,29.534890109890103
W3,ac_transmission:W4,32.17946153846154
W3,battery,0.0
W3,biomass,0.0
W3,coal,165.0
W3,demand_power,46.0
W3,diesel,3.05
W3,gas,0.0
W3,geothermal,0.0
W3,hvac_transmission:W3-IMP,0.0
W3,hydro,12.97
W3,pumped_hydro,0.0
W3,solar,23.14
W3,wind_offshore,0.0
W3,wind_onshore,0.0
W3-IMP,hvac_transmission:W3,0.0
W3-IMP,hydro_import,230.0
W4,ac_transmission:W2,92.8518488752566
W4,ac_transmission:W3,32.17946153846154
W4,ac_transmission_new:W5,52.413488
W4,battery,0.0
W4,biomass,5.0
W4,coal,9.0
W4,demand_power,141.0
W4,diesel,70.36
W4,gas,0.0
W4,geothermal,0.0
W4,hydro,0.0
W4,pumped_hydro,0.0
W4,solar,13.66
W4,wind_offshore,0.0
W4,wind_onshore,0.0
W5,ac_transmission_new:W4,52.413488
W5,ac_transmission_new:W7,1.0
W5,battery,0.0
W5,biomass,0.0
W5,coal,0.0
W5,demand_power,138.0
W5,diesel,43.7
W5,gas,0.0
W5,geothermal,0.0
W5,hydro,103.57
W5,pumped_hydro,0.0
W5,solar,69.84
W5,wind_offshore,0.0
W5,wind_onshore,0.0
W6,ac_transmission_new:C1,160.45010742035845
W6,ac_transmission_new:W2,209.65368947292137
W6,battery,0.0
W6,biomass,14.5
W6,coal,49.0
W6,demand_power,112.5
W6,diesel,50.99
W6,gas,0.0
W6,geothermal,0.0
W6,hydro,0.3
W6,pumped_hydro,0.0
W6,solar,22.5
W6,wind_offshore,0.0
W6,wind_onshore,0.0
W7,ac_transmission_new:W5,1.0
W7,battery,0.0
W7,biomass,0.0
W7,coal,0.0
W7,demand_power,40.5
W7,diesel,26.7
W7,gas,0.0
W7,geothermal,0.0
W7,hydro,17.4
W7,pumped_hydro,0.0
W7,solar,10.5
W7,wind_offshore,0.0
W7,wind_onshore,0.0
