locs,techs,lifetime
W4,diesel,25.0
W4,gas,25.0
W4,geothermal,30.0
W4,hydro,50.0
W4,pumped_hydro,50.0
W4,solar,25.0
W4,wind_offshore,27.0
W4,wind_onshore,27.0
W5,ac_transmission_new:W4,25.0
W5,ac_transmission_new:W7,25.0
W5,battery,20.0
W5,biomass,25.0
W5,coal,30.0
W5,diesel,25.0
W5,gas,25.0
W5,geothermal,30.0
W5,hydro,50.0
W5,pumped_hydro,50.0
W5,solar,25.0
W5,wind_offshore,27.0
W5,wind_onshore,27.0
W6,ac_transmission_new:C1,25.0
W6,ac_transmission_new:W2,25.0
W6,battery,20.0
W6,biomass,25.0
W6,coal,30.0
W6,diesel,25.0
W6,gas,25.0
W6,geothermal,30.0
W6,hydro,50.0
W6,pumped_hydro,50.0
W6,solar,25.0
W6,wind_offshore,27.0
W6,wind_onshore,27.0
W7,ac_transmission_new:W5,25.0
W7,battery,20.0
W7,biomass,25.0
W7,coal,30.0
W7,diesel,25.0
W7,gas,25.0
W7,geothermal,30.0
W7,hydro,50.0
W7,pumped_hydro,50.0
W7,solar,25.0
W7,wind_offshore,27.0
W7,wind_onshore,27.0
