costs,locs,techs,cost
monetary,W3,geothermal,0.0
monetary,W3,hvac_transmission:W3-IMP,8333704.258574435
monetary,W3,hydro,1017771.1457160922
monetary,W3-IMP,hvac_transmission:W3,5.928974291244489
monetary,W3-IMP,hydro_import,26010602.35041544
monetary,W3-PV1,free_transmission:W3,0.0
monetary,W3-PV1,solar,7373.482761601269
monetary,W3-PV2,free_transmission:W3,0.0
monetary,W3-PV2,solar,16904.874684123082
monetary,W4,ac_transmission:W2,0.0
monetary,W4,ac_transmission:W3,934431.5271190413
monetary,W4,ac_transmission:W5,0.0
monetary,W4,biomass,0.0
monetary,W4,coal,5876683.119056716
monetary,W4,diesel,6310352.572838012
monetary,W4,free_transmission:W4-PV1,0.0
monetary,W4,gas,0.0
monetary,W4,geothermal,0.0
monetary,W4,hydro,0.0
monetary,W4-PV1,free_transmission:W4,0.0
monetary,W4-PV1,solar,13459.160229662371
monetary,W5,ac_transmission:W4,0.0
monetary,W5,biomass,0.0
monetary,W5,coal,0.0
monetary,W5,diesel,13048938.152235422
monetary,W5,gas,5082592.259013554
monetary,W5,geothermal,0.0
monetary,W5,hydro,0.0
monetary,W6,ac_transmission:W2,0.44801682690608474
monetary,W6,biomass,0.0
monetary,W6,coal,10663390.290006073
monetary,W6,diesel,1487570.150349811
monetary,W6,gas,0.0
monetary,W6,geothermal,0.0
monetary,W6,hydro,76909.6583664551
