locs,techs,resource_area
N1-PV1,solar,9.2846200269254
N1-PV2,solar,10.405466338316396
N1-PV3,solar,10.535720741425525
N1-PV4,solar,10.434601137371525
N1-PV5,solar,1415.0943396226417
N1-PV6,solar,10.725202438196021
N1-PV7,solar,12.767587351576799
W3-PV1,solar,18.475039451907158
W3-PV2,solar,60000.0
W4-PV1,solar,35999.99999999999
