locs,techs,lookup_loc_techs
W2,biomass,W2::biomass::power
W2,coal,W2::coal::power
W2,demand_power,W2::demand_power::power
W2,diesel,W2::diesel::power
W2,gas,W2::gas::power
W2,geothermal,W2::geothermal::power
W2,hydro,W2::hydro::power
W3,ac_transmission:W1,W3::ac_transmission:W1::power
W3,ac_transmission:W4,W3::ac_transmission:W4::power
W3,biomass,W3::biomass::power
W3,coal,W3::coal::power
W3,demand_power,W3::demand_power::power
W3,diesel,W3::diesel::power
W3,free_transmission:W3-PV1,W3::free_transmission:W3-PV1::power
W3,free_transmission:W3-PV2,W3::free_transmission:W3-PV2::power
W3,gas,W3::gas::power
W3,geothermal,W3::geothermal::power
W3,hvac_transmission:W3-IMP,W3::hvac_transmission:W3-IMP::power
W3,hydro,W3::hydro::power
W3-IMP,hvac_transmission:W3,W3-IMP::hvac_transmission:W3::power
W3-IMP,hydro_import,W3-IMP::hydro_import::power
W3-PV1,free_transmission:W3,W3-PV1::free_transmission:W3::power
W3-PV1,solar,W3-PV1::solar::power
W3-PV2,free_transmission:W3,W3-PV2::free_transmission:W3::power
W3-PV2,solar,W3-PV2::solar::power
W4,ac_transmission:W2,W4::ac_transmission:W2::power
W4,ac_transmission:W3,W4::ac_transmission:W3::power
W4,ac_transmission:W5,W4::ac_transmission:W5::power
W4,biomass,W4::biomass::power
W4,coal,W4::coal::power
W4,demand_power,W4::demand_power::power
W4,diesel,W4::diesel::power
W4,free_transmission:W4-PV1,W4::free_transmission:W4-PV1::power
W4,gas,W4::gas::power
W4,geothermal,W4::geothermal::power
W4,hydro,W4::hydro::power
W4-PV1,free_transmission:W4,W4-PV1::free_transmission:W4::power
W4-PV1,solar,W4-PV1::solar::power
W5,ac_transmission:W4,W5::ac_transmission:W4::power
W5,biomass,W5::biomass::power
W5,coal,W5::coal::power
W5,demand_power,W5::demand_power::power
W5,diesel,W5::diesel::power
W5,gas,W5::gas::power
W5,geothermal,W5::geothermal::power
W5,hydro,W5::hydro::power
W6,ac_transmission:W2,W6::ac_transmission:W2::power
W6,biomass,W6::biomass::power
W6,coal,W6::coal::power
W6,demand_power,W6::demand_power::power
W6,diesel,W6::diesel::power
W6,gas,W6::gas::power
W6,geothermal,W6::geothermal::power
W6,hydro,W6::hydro::power
