locs,techs,energy_eff
W5,geothermal,0.18
W5,hydro,0.95
W5,pumped_hydro,0.92
W5,wind_offshore,1.0
W5,wind_onshore,1.0
W6,ac_transmission_new:C1,0.91
W6,ac_transmission_new:W2,0.91
W6,battery,0.96
W6,biomass,0.29
W6,coal,0.38
W6,diesel,0.46
W6,gas,0.57
W6,geothermal,0.18
W6,hydro,0.95
W6,pumped_hydro,0.92
W6,wind_offshore,1.0
W6,wind_onshore,1.0
W7,ac_transmission_new:W5,0.91
W7,battery,0.96
W7,biomass,0.29
W7,coal,0.38
W7,diesel,0.46
W7,gas,0.57
W7,geothermal,0.18
W7,hydro,0.95
W7,pumped_hydro,0.92
W7,wind_offshore,1.0
W7,wind_onshore,1.0
