locs,techs,lookup_loc_techs
N2,pumped_hydro,N2::pumped_hydro::power
N2,solar,N2::solar::power
N2,wind_offshore,N2::wind_offshore::power
N2,wind_onshore,N2::wind_onshore::power
S1,ac_transmission:C4,S1::ac_transmission:C4::power
S1,ac_transmission:S2,S1::ac_transmission:S2::power
S1,ac_transmission:S3,S1::ac_transmission:S3::power
S1,battery,S1::battery::power
S1,biomass,S1::biomass::power
S1,coal,S1::coal::power
S1,demand_power,S1::demand_power::power
S1,diesel,S1::diesel::power
S1,gas,S1::gas::power
S1,geothermal,S1::geothermal::power
S1,hydro,S1::hydro::power
S1,pumped_hydro,S1::pumped_hydro::power
S1,solar,S1::solar::power
S1,wind_offshore,S1::wind_offshore::power
S1,wind_onshore,S1::wind_onshore::power
S2,ac_transmission:C5,S2::ac_transmission:C5::power
S2,ac_transmission:E1,S2::ac_transmission:E1::power
S2,ac_transmission:S1,S2::ac_transmission:S1::power
S2,ac_transmission_new:S3,S2::ac_transmission_new:S3::power
S2,battery,S2::battery::power
S2,biomass,S2::biomass::power
S2,coal,S2::coal::power
S2,demand_power,S2::demand_power::power
S2,diesel,S2::diesel::power
S2,gas,S2::gas::power
S2,geothermal,S2::geothermal::power
S2,hydro,S2::hydro::power
S2,pumped_hydro,S2::pumped_hydro::power
S2,solar,S2::solar::power
S2,wind_offshore,S2::wind_offshore::power
S2,wind_onshore,S2::wind_onshore::power
S3,ac_transmission:S1,S3::ac_transmission:S1::power
S3,ac_transmission_new:S2,S3::ac_transmission_new:S2::power
S3,battery,S3::battery::power
S3,biomass,S3::biomass::power
S3,coal,S3::coal::power
S3,demand_power,S3::demand_power::power
S3,diesel,S3::diesel::power
S3,gas,S3::gas::power
S3,geothermal,S3::geothermal::power
S3,hydro,S3::hydro::power
S3,pumped_hydro,S3::pumped_hydro::power
S3,solar,S3::solar::power
S3,wind_offshore,S3::wind_offshore::power
S3,wind_onshore,S3::wind_onshore::power
W1,ac_transmission:W2,W1::ac_transmission:W2::power
W1,ac_transmission:W3,W1::ac_transmission:W3::power
W1,battery,W1::battery::power
W1,biomass,W1::biomass::power
W1,coal,W1::coal::power
W1,demand_power,W1::demand_power::power
W1,diesel,W1::diesel::power
W1,gas,W1::gas::power
W1,geothermal,W1::geothermal::power
W1,hydro,W1::hydro::power
W1,pumped_hydro,W1::pumped_hydro::power
W1,solar,W1::solar::power
W1,wind_offshore,W1::wind_offshore::power
W1,wind_onshore,W1::wind_onshore::power
W2,ac_transmission:W1,W2::ac_transmission:W1::power
W2,ac_transmission:W4,W2::ac_transmission:W4::power
W2,ac_transmission_new:W6,W2::ac_transmission_new:W6::power
W2,battery,W2::battery::power
W2,biomass,W2::biomass::power
W2,coal,W2::coal::power
W2,demand_power,W2::demand_power::power
