costs,locs,techs,cost_investment_rhs
monetary,S3,geothermal,0.0
monetary,S3,hydro,0.0
monetary,W1,biomass,0.0
monetary,W1,coal,26926153.500927627
monetary,W1,diesel,1454187.0448282596
monetary,W1,gas,0.0
monetary,W1,geothermal,0.0
monetary,W1,hydro,0.0
monetary,W1,solar,7293.938857270477
monetary,W2,biomass,2080299.069661365
monetary,W2,coal,0.0
monetary,W2,diesel,7972568.631356888
monetary,W2,gas,0.0
monetary,W2,geothermal,0.0
monetary,W2,hydro,0.0
monetary,W3,biomass,0.0
monetary,W3,coal,11847507.540408157
monetary,W3,diesel,452361.1165508104
monetary,W3,gas,0.0
monetary,W3,geothermal,0.0
monetary,W3,hvac_transmission:W3-IMP,3.400291206555404
monetary,W3,hydro,0.0
monetary,W3,solar,3646.9694286352383
monetary,W3-IMP,hvac_transmission:W3,3.400291206555404
monetary,W3-IMP,hydro_import,30940615.89506067
monetary,W4,biomass,1040149.5348306824
monetary,W4,coal,2908024.578100184
monetary,W4,diesel,4165985.361323956
monetary,W4,gas,4960700.930699755
monetary,W4,geothermal,0.0
monetary,W4,hydro,0.0
monetary,W4,solar,5470.454142952857
monetary,W5,biomass,0.0
monetary,W5,coal,0.0
monetary,W5,diesel,9858393.44315575
monetary,W5,gas,0.0
monetary,W5,geothermal,0.0
monetary,W5,hydro,589544.837346917
monetary,W6,biomass,728104.6743814776
monetary,W6,coal,5277526.086181815
monetary,W6,diesel,5784182.9156869985
monetary,W6,gas,0.0
monetary,W6,geothermal,0.0
monetary,W6,hydro,44549.98770883503
